France
Domenech,CT,False
Abidal,3,DS,Wite, False
Vieira,4,CC,Wite, False
Gallas,5,DC,Wite ,False
Makelele,6,CC,Wite,False
Malouda,7,AS,Wite,False
Zidane,10,COC,Wite,True
Henry,12,ATT,Wite,False
Thuram,15,DC,Wite,False
Barthez,16,P,Black,False
Sagnol,19,DD,Wite,False
Ribery,22,AD,Wite,False
Landreau,1,P,Black,False
Boumsong,2,DC,Wite,False
Dhorasoo,8,CC,Wite,False
Govou,9,AD,Wite,False
Wiltord,11,AT,Wite,False
Silvestre,13,DC,Wite,False
Saha,14,ATT,Wite,False
Givet,17,DC,Wite,False
Diarra,18,CDC,Wite,False
Trezeguet,20,ATT,Wite,False
Chimbonda,21,DC,Wite,False
Coupet,23,P,Black,False
